agent,label,seed,implementation,shortfall_bps,effective_bps,fill_frac,duration,children,vwap,arrival,gross_cost,total_cost,total_fees,fee_bps,gross_effective_bps,net_effective_bps,hypothetical_liquidation_cost,hypothetical_liquidation_fees,completion_penalty_bps,optimization_cost_bps,unpriced_leftover_qty,fillable_leftover_qty,outstanding_qty,status,invalid_reasons,accounting,scenario,episode_reward
vwap,VWAP,109,vwap,2.187821808909656,2.187821808909656,1.0,10.0,20,99.99312,100.005,23.760000000002037,43.75862400000203,19.998623999999992,0.9998812059397026,1.1879406029699533,2.187821808909656,0.0,0.0,0.0,2.187821808909656,0,0,0,VALID,[],"{'cash': 199966.24137600005, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -23.75999999998365, 'unrealized_pnl': 0.0, 'total_fees': 19.998623999999992, 'realized_pnl': -43.75862399998364, 'equity': 199966.24137600005, 'total_pnl': -43.75862399998364}",baseline_foundation_study,
pov,POV,109,pov,1.8333749812515774,1.8333749812515774,1.0,10.0,19,99.996665,100.005,16.670000000012806,36.6693330000128,19.999332999999996,0.9999166541672915,0.833458327084286,1.8333749812515774,0.0,0.0,0.0,1.8333749812515774,0,0,0,VALID,[],"{'cash': 199973.33066699997, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -16.66999999998484, 'unrealized_pnl': 0.0, 'total_fees': 19.999332999999996, 'realized_pnl': -36.66933299998483, 'equity': 199973.33066699997, 'total_pnl': -36.66933299998483}",baseline_foundation_study,
ac,Almgren-Chriss,109,ac,2.154826758662722,2.154826758662722,1.0,10.0,20,99.99345,100.005,23.100000000013097,43.0986900000131,19.998690000000003,0.9998845057747114,1.1549422528880104,2.154826758662722,0.0,0.0,0.0,2.154826758662722,0,0,0,VALID,[],"{'cash': 199966.90131000002, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -23.099999999982572, 'unrealized_pnl': 0.0, 'total_fees': 19.998690000000003, 'realized_pnl': -43.098689999982575, 'equity': 199966.90131000002, 'total_pnl': -43.098689999982575}",baseline_foundation_study,
heuristic,Heuristic,109,heuristic,1.7313188161900994,1.7858792060393125,0.929,10.0,20,99.99737351991389,100.005,14.169999999992287,32.16951199999229,17.999512,0.8999306034698265,0.8149592520370126,1.7858792060393125,2.13,1.419858,1.775,3.5608792060393126,0,142,142,WARNING,[],"{'cash': 185777.12048799996, 'inventory': 142, 'average_cost': 100.005, 'gross_realized_pnl': -14.169999999987112, 'unrealized_pnl': -1.4199999999987085, 'total_fees': 17.999512, 'realized_pnl': -32.16951199998711, 'equity': 199976.41048799996, 'total_pnl': -33.58951199998582}",baseline_foundation_study,-3.560879206039698
random,Random,109,random,1.3879194040290714,1.3879194040290714,1.0,10.0,17,99.99950000000001,100.005,10.999999999985448,27.759775999985454,16.759776000000006,0.8379469026548676,0.5499725013742037,1.3879194040290714,0.0,0.0,0.0,1.3879194040290714,0,0,0,VALID,[],"{'cash': 199982.240224, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -10.999999999988233, 'unrealized_pnl': 0.0, 'total_fees': 16.759776000000006, 'realized_pnl': -27.75977599998824, 'equity': 199982.240224, 'total_pnl': -27.75977599998824}",baseline_foundation_study,-1.3879194040297986
twap,TWAP,110,twap,2.615419220960932,2.615419220960932,1.0,10.0,20,99.978845,99.995,32.30999999999767,52.305768999997674,19.995769000000003,0.9998384419220963,1.6155807790388355,2.615419220960932,0.0,0.0,0.0,2.615419220960932,0,0,0,VALID,[],"{'cash': 199937.69423099997, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -32.31000000000232, 'unrealized_pnl': 0.0, 'total_fees': 19.995769000000003, 'realized_pnl': -52.30576900000232, 'equity': 199937.69423099997, 'total_pnl': -52.30576900000232}",baseline_foundation_study,
vwap,VWAP,110,vwap,3.5018748937450948,3.5018748937450948,1.0,10.0,20,99.96997999999999,99.995,50.04000000000815,70.03399600000814,19.993996,0.9997497874893745,2.50212510625572,3.5018748937450948,0.0,0.0,0.0,3.5018748937450948,0,0,0,VALID,[],"{'cash': 199919.966004, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -50.03999999999928, 'unrealized_pnl': 0.0, 'total_fees': 19.993996, 'realized_pnl': -70.03399599999928, 'equity': 199919.966004, 'total_pnl': -70.03399599999928}",baseline_foundation_study,
pov,POV,110,pov,3.494875243762989,3.494875243762989,1.0,10.0,18,99.97005,99.995,49.90000000001601,69.89401000001601,19.994010000000003,0.9997504875243763,2.4951247562386123,3.494875243762989,0.0,0.0,0.0,3.494875243762989,0,0,0,VALID,[],"{'cash': 199920.10599000004, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -49.89999999999995, 'unrealized_pnl': 0.0, 'total_fees': 19.994010000000003, 'realized_pnl': -69.89400999999995, 'equity': 199920.10599000004, 'total_pnl': -69.89400999999995}",baseline_foundation_study,
ac,Almgren-Chriss,110,ac,2.694915245761997,2.694915245761997,1.0,10.0,20,99.97805000000001,99.995,33.89999999999418,53.89560999999418,19.99561,0.9998304915245763,1.6950847542374208,2.694915245761997,0.0,0.0,0.0,2.694915245761997,0,0,0,VALID,[],"{'cash': 199936.10439, 'inventory': 0, 'average_cost': 0.0, 'gross_realized_pnl': -33.90000000000164, 'unrealized_pnl': 0.0, 'total_fees': 19.99561, 'realized_pnl': -53.89561000000164, 'equity': 199936.10439, 'total_pnl': -53.89561000000164}",baseline_foundation_study,
heuristic,Heuristic,110,heuristic,2.6932486624324836,2.7889105455266656,0.9,10.0,20,99.97756111111111,99.995,31.389999999988504,48.47605199998851,17.08605200000001,0.8543453172658638,1.8345917295858682,2.7889105455266656,5.299999999999272,1.99937,2.5,5.288910545526665,0,200,200,WARNING,[],"{'cash': 179942.52394799996, 'inventory': 200, 'average_cost': 99.995, 'gross_realized_pnl': -31.39000000000327, 'unrealized_pnl': -3.999999999999204, 'total_fees': 17.08605200000001, 'realized_pnl': -48.47605200000328, 'equity': 199937.52394799996, 'total_pnl': -52.47605200000248}",baseline_foundation_study,-5.28891054552724
random,Random,110,random,3.0393525692318355,3.4073916195803027,0.748,10.0,15,99.97380347593584,99.995,31.70999999998647,45.466440999986474,13.756441000000002,0.6878564428221413,2.4676233811683814,3.4073916195803027,17.64,5.037984000000001,6.3,9.707391619580303,0,504,200,WARNING,[],"{'cash': 149547.05355900002, 'inventory': 504, 'average_cost': 99.995, 'gross_realized_pnl': -31.710000000002438, 'unrealized_pnl': -15.120000000000573, 'total_fees': 13.756441000000002, 'realized_pnl': -45.46644100000244, 'equity': 199929.413559, 'total_pnl': -60.58644100000301}",baseline_foundation_study,-9.70739161958098
