agent,label,seed,shortfall_bps,effective_bps,fill_frac,duration,children,vwap,arrival,scenario
ac,Almgren-Chriss,1022,1.120080020005397,1.120080020005397,1.0,57.5,20,99.963802,99.975,calm
heuristic,Heuristic,1022,2.637358847101269,3.098474618654923,0.8932,60.0,120,99.94863300492612,99.975,calm
pov,POV,1022,1.9904976244058832,1.9904976244058832,1.0,55.0,107,99.9551,99.975,calm
random,Random,1022,5.356993554241583,5.444461115279233,0.9789,60.0,93,99.92144345694147,99.975,calm
twap,TWAP,1022,2.890922730682493,2.890922730682493,1.0,57.5,20,99.946098,99.975,calm
vwap,VWAP,1022,0.3396849212296439,0.3396849212296439,1.0,57.5,20,99.971604,99.975,calm
ac,Almgren-Chriss,1023,3.457727113643745,3.457727113643745,1.0,57.5,20,99.970421,100.005,calm
heuristic,Heuristic,1023,3.8988010219701192,4.201289935502439,0.9163,60.0,120,99.9660100403798,100.005,calm
pov,POV,1023,4.057897105144938,4.057897105144938,1.0,58.5,115,99.964419,100.005,calm
random,Random,1023,4.503074846257996,4.503074846257996,1.0,57.0,88,99.959967,100.005,calm
twap,TWAP,1023,5.520023998800194,5.520023998800194,1.0,57.5,20,99.949797,100.005,calm
vwap,VWAP,1023,4.172791360432663,4.172791360432663,1.0,57.5,20,99.96327,100.005,calm
ac,Almgren-Chriss,1024,4.605030251511734,4.605030251511734,1.0,57.5,20,99.948952,99.995,calm
heuristic,Heuristic,1024,2.44878637101869,2.8306415320766325,0.9019,60.0,120,99.970513360683,99.995,calm
pov,POV,1024,2.064303215161468,2.064303215161468,1.0,56.5,106,99.974358,99.995,calm
random,Random,1024,6.914745737286523,6.914745737286523,1.0,53.5,90,99.925856,99.995,calm
twap,TWAP,1024,4.312615630782246,4.312615630782246,1.0,57.5,20,99.951876,99.995,calm
vwap,VWAP,1024,0.7846392319624625,0.7846392319624625,1.0,57.5,20,99.987154,99.995,calm
ac,Almgren-Chriss,1025,5.267963398170241,5.267963398170241,1.0,57.5,20,99.942323,99.995,calm
heuristic,Heuristic,1025,2.9322575056932303,3.262063103154672,0.9162,60.0,120,99.96567889107182,99.995,calm
pov,POV,1025,2.908845442272067,2.908845442272067,1.0,56.5,112,99.965913,99.995,calm
random,Random,1025,2.086304315215496,2.086304315215496,1.0,50.5,81,99.974138,99.995,calm
twap,TWAP,1025,4.857442872143983,4.857442872143983,1.0,57.5,20,99.946428,99.995,calm
vwap,VWAP,1025,3.8857942897140982,3.8857942897140982,1.0,57.5,20,99.956144,99.995,calm
ac,Almgren-Chriss,1026,6.283514175708637,6.283514175708637,1.0,57.5,20,99.932168,99.995,calm
heuristic,Heuristic,1026,2.482188851349947,2.83174158707888,0.9144,60.0,120,99.97017935258091,99.995,calm
pov,POV,1026,6.359917995899568,6.359917995899568,1.0,56.5,112,99.931404,99.995,calm
random,Random,1026,2.9053452672626032,2.9053452672626032,1.0,47.5,76,99.965948,99.995,calm
twap,TWAP,1026,3.211560578029041,3.211560578029041,1.0,57.5,20,99.962886,99.995,calm
vwap,VWAP,1026,3.790489524476794,3.790489524476794,1.0,57.5,20,99.957097,99.995,calm
ac,Almgren-Chriss,1027,4.317584120794677,4.317584120794677,1.0,57.5,20,99.961822,100.005,calm
heuristic,Heuristic,1027,3.790176385776818,4.207389630518204,0.8937,60.0,120,99.96709634105405,100.005,calm
pov,POV,1027,4.99705014749353,4.99705014749353,1.0,56.0,109,99.955027,100.005,calm
random,Random,1027,3.5662216889152574,3.5662216889152574,1.0,42.5,71,99.969336,100.005,calm
twap,TWAP,1027,4.839258037098189,4.839258037098189,1.0,57.5,20,99.956605,100.005,calm
vwap,VWAP,1027,4.341582920854106,4.341582920854106,1.0,57.5,20,99.961582,100.005,calm
ac,Almgren-Chriss,1028,1.017949102544902,1.017949102544902,1.0,57.5,20,99.99482,100.005,calm
heuristic,Heuristic,1028,4.091124987938432,4.5832708364588175,0.8973,60.0,120,99.96408670455811,100.005,calm
pov,POV,1028,3.6101194940255774,3.6101194940255774,1.0,56.0,110,99.968897,100.005,calm
random,Random,1028,5.539323033848372,5.539323033848372,1.0,56.0,92,99.949604,100.005,calm
twap,TWAP,1028,3.034848257586975,3.034848257586975,1.0,57.5,20,99.97465,100.005,calm
vwap,VWAP,1028,3.635318234088616,3.635318234088616,1.0,57.5,20,99.968645,100.005,calm
ac,Almgren-Chriss,1029,3.650352447133477,3.650352447133477,1.0,57.5,20,99.978491,100.015,calm
heuristic,Heuristic,1029,3.257120852000774,3.5806629005654504,0.9002,60.0,120,99.98242390579873,100.015,calm
pov,POV,1029,3.3874918762193964,3.3874918762193964,1.0,56.0,111,99.98112,100.015,calm
random,Random,1029,2.629205619157336,2.629205619157336,1.0,58.5,93,99.988704,100.015,calm
twap,TWAP,1029,1.440183972403639,1.440183972403639,1.0,57.5,20,100.000596,100.015,calm
vwap,VWAP,1029,4.569214617807745,4.569214617807745,1.0,57.5,20,99.969301,100.015,calm
ac,Almgren-Chriss,1030,4.792660366982024,4.792660366982024,1.0,57.5,20,99.957071,100.005,calm
heuristic,Heuristic,1030,4.160975793662691,4.464976751162992,0.8937,60.0,120,99.96338816157548,100.005,calm
pov,POV,1030,4.292685365732086,4.292685365732086,1.0,59.0,115,99.962071,100.005,calm
random,Random,1030,4.943052847358451,4.943052847358451,1.0,49.5,85,99.955567,100.005,calm
twap,TWAP,1030,4.8026598670072405,4.8026598670072405,1.0,57.5,20,99.956971,100.005,calm
vwap,VWAP,1030,3.395830208490216,3.395830208490216,1.0,57.5,20,99.97104,100.005,calm
